iter	Passed	Remaining
180	5913	7154
181	5946	7122
182	5981	7092
183	6016	7062
184	6051	7033
185	6086	7003
186	6120	6971
187	6149	6935
188	6177	6896
189	6206	6860
190	6240	6828
191	6281	6804
192	6317	6775
193	6351	6744
194	6387	6715
195	6423	6685
196	6455	6651
197	6489	6620
198	6523	6588
199	6556	6556
200	6591	6525
201	6624	6492
202	6652	6455
203	6680	6418
204	6711	6383
205	6742	6349
206	6773	6315
207	6811	6287
208	6846	6257
209	6882	6226
210	6920	6198
211	6952	6165
212	6986	6133
213	7020	6102
214	7053	6069
215	7090	6039
216	7122	6006
217	7156	5974
218	7192	5944
219	7228	5914
220	7260	5880
221	7292	5847
222	7328	5816
223	7371	5792
224	7418	5769
225	7454	5739
226	7489	5707
227	7524	5676
228	7556	5642
229	7587	5607
230	7617	5572
231	7645	5536
232	7676	5502
233	7708	5468
234	7739	5434
235	7769	5399
236	7805	5368
237	7833	5332
238	7863	5296
239	7894	5262
240	7948	5244
241	7985	5213
242	8023	5183
243	8060	5153
244	8096	5122
245	8134	5092
246	8182	5068
247	8246	5054
248	8284	5023
249	8314	4988
250	8345	4954
251	8378	4920
252	8407	4885
253	8437	4849
254	8469	4815
255	8504	4783
256	8541	4752
257	8577	4720
258	8610	4687
259	8640	4652
260	8668	4616
261	8698	4581
262	8726	4545
263	8756	4510
264	8791	4478
265	8846	4456
266	8887	4427
267	8934	4400
268	8970	4368
269	9010	4338
270	9048	4307
271	9105	4285
272	9173	4267
273	9202	4231
274	9236	4198
275	9270	4164
276	9305	4132
277	9337	4097
278	9386	4070
279	9438	4045
280	9473	4011
281	9513	3980
282	9549	3947
283	9581	3913
284	9636	3888
285	9718	3873
286	9751	3839
287	9792	3808
288	9826	3774
289	9861	3740
290	9903	3709
291	9937	3675
292	9971	3641
293	10006	3607
294	10038	3572
295	10073	3539
296	10114	3507
297	10149	3473
298	10180	3438
299	10213	3404
300	10244	3369
301	10277	3335
302	10313	3301
303	10349	3268
304	10385	3234
305	10419	3200
306	10450	3165
307	10484	3131
308	10522	3098
309	10562	3066
310	10599	3033
311	10630	2998
312	10664	2964
313	10695	2929
314	10728	2895
315	10760	2860
316	10794	2826
317	10829	2792
318	10887	2764
319	10927	2731
320	10960	2697
321	10996	2663
322	11032	2629
323	11070	2596
324	11133	2569
325	11168	2535
326	11199	2500
327	11233	2465
328	11262	2430
329	11292	2395
330	11323	2360
331	11357	2326
332	11386	2291
333	11417	2256
334	11446	2220
335	11474	2185
336	11504	2150
337	11534	2115
338	11571	2082
339	11604	2047
340	11637	2013
341	11673	1979
342	11707	1945
343	11740	1911
344	11772	1876
345	11804	1842
346	11837	1808
347	11869	1773
348	11901	1739
349	11933	1704
350	11962	1669
351	11997	1636
352	12029	1601
353	12062	1567
354	12099	1533
355	12134	1499
356	12175	1466
357	12210	1432
358	12245	1398
359	12280	1364
360	12313	1330
361	12350	1296
362	12385	1262
363	12420	1228
364	12456	1194
365	12490	1160
366	12524	1126
367	12559	1092
368	12594	1058
369	12628	1023
370	12662	989
371	12697	955
372	12733	921
373	12768	887
374	12801	853
375	12836	819
376	12872	785
377	12907	751
378	12944	717
379	12979	683
380	13010	648
381	13046	614
382	13084	580
383	13118	546
384	13152	512
385	13193	478
386	13223	444
387	13255	409
388	13286	375
389	13320	341
390	13358	307
391	13397	273
392	13433	239
393	13472	205
394	13508	170
395	13541	136
396	13575	102
397	13611	68
398	13647	34
399	13681	0
