iter	Logloss
0	0.6879469367
1	0.6827574971
2	0.6778612517
3	0.6728592455
4	0.6677805428
5	0.6630607966
6	0.6586532909
7	0.6544058095
8	0.6497897972
9	0.6454113889
10	0.6411801817
11	0.6369714745
12	0.6326775474
13	0.6283601403
14	0.6244673113
15	0.6208076903
16	0.6171045563
17	0.6138278761
18	0.6102437622
19	0.6067811764
20	0.6033304423
21	0.6000184837
22	0.5968006438
23	0.5936568029
24	0.5904168022
25	0.587255194
26	0.5840924575
27	0.5812266575
28	0.5785677921
29	0.5757506042
30	0.5726458095
31	0.5699353476
32	0.5673580372
33	0.564909954
34	0.5624624913
35	0.5600237607
36	0.5577489574
37	0.5553288489
38	0.5530693745
39	0.5507463252
40	0.5484526203
41	0.5461854601
42	0.5441054326
43	0.5419982389
44	0.5400406648
45	0.5380594564
46	0.5362229991
47	0.5344144266
48	0.5328409815
49	0.5307449159
50	0.528400437
51	0.5266122583
52	0.524896175
53	0.5232242956
54	0.5216344361
55	0.5200845221
56	0.5186273398
57	0.5170306476
58	0.5154656484
59	0.5139805101
60	0.5127812212
61	0.5113046771
62	0.5099108939
63	0.5085170426
64	0.5072471588
65	0.5054544845
66	0.5041184475
67	0.5028524669
68	0.5016013095
69	0.5004047691
70	0.4990917737
71	0.49787455
72	0.4967232646
73	0.4955234005
74	0.4943693766
75	0.4932021042
76	0.4922305176
77	0.4911813573
78	0.4902441787
79	0.488848885
80	0.4879468266
81	0.48707277
82	0.4859648756
83	0.484985522
84	0.4837202426
85	0.4828177755
86	0.4819561038
87	0.4810629369
88	0.480162248
89	0.4792974156
90	0.4784113559
91	0.4772619613
92	0.4764508957
93	0.475453779
94	0.4745993247
95	0.4736522753
96	0.4729282483
97	0.4719123541
98	0.4706962242
99	0.4695204316
100	0.4687725995
101	0.4680746255
102	0.4673303504
103	0.4666789723
104	0.4661141027
105	0.4654579961
106	0.4647078782
107	0.4641194274
108	0.4634541145
109	0.4627191075
110	0.4620539001
111	0.4614247596
112	0.4607647324
113	0.460215261
114	0.4593729101
115	0.458505134
116	0.4579769583
117	0.4573861122
118	0.4568110945
119	0.4562649036
120	0.4552851661
121	0.4547489881
122	0.4542365784
123	0.45366657
124	0.4531343434
125	0.4526217457
126	0.451656815
127	0.4509000343
128	0.4499960084
129	0.4494966901
130	0.4488132159
131	0.4483663955
132	0.4479367454
133	0.4474809328
134	0.4470083417
135	0.4465747313
136	0.4461236162
137	0.4456866944
138	0.4450803012
139	0.4446538431
140	0.4442425526
141	0.4438712264
142	0.4434934135
143	0.4429282689
144	0.4425494134
145	0.4421433567
146	0.441400648
147	0.4409294391
148	0.4405561628
149	0.4401576927
150	0.4393979066
151	0.4390544262
152	0.4387093218
153	0.4383617575
154	0.4380021686
155	0.4376414405
156	0.437314004
157	0.436974962
158	0.4366427618
159	0.4359604733
160	0.4356367511
161	0.4352845067
162	0.434925268
163	0.434275022
164	0.4336172787
165	0.4332883807
166	0.4328506517
167	0.4325030646
168	0.4321851727
169	0.4318749321
170	0.4315562439
171	0.4311664597
172	0.4309351601
173	0.430644474
174	0.4303581808
175	0.4300643394
176	0.4296875256
177	0.4293084047
178	0.4288756078
179	0.4285982985
180	0.4281568091
181	0.4278777742
182	0.42759829
183	0.4273230766
184	0.4270767517
185	0.4268057668
186	0.4265611431
187	0.4262845518
188	0.4259900203
189	0.4257059685
190	0.4254371349
191	0.4251591523
192	0.4247249088
193	0.4244712933
194	0.424193825
195	0.4239662328
196	0.4236952793
197	0.4234551182
198	0.4231989933
199	0.4229300301
200	0.422666128
201	0.4223995197
202	0.4221400626
203	0.421748011
204	0.4215369955
205	0.4211528813
206	0.4209264934
207	0.4204422912
208	0.4202733647
209	0.4199062209
210	0.4196726886
211	0.4194686652
212	0.4190191684
213	0.4188731563
214	0.4186769448
215	0.4185017051
216	0.4182917604
217	0.4180499419
218	0.4176994038
219	0.4174972022
220	0.4172608484
221	0.4168904521
222	0.4167019839
223	0.4165200734
224	0.4161952332
225	0.4159190135
226	0.4157260605
227	0.4152887877
228	0.4150989611
229	0.414913924
230	0.4147176854
231	0.4145389046
232	0.414336255
233	0.413987997
234	0.4136557997
235	0.4132758189
236	0.4130784693
237	0.4128773817
238	0.4126986173
239	0.4124746633
240	0.4122995025
241	0.4118872997
242	0.4116856055
243	0.4114114612
244	0.4111633449
245	0.4109725915
246	0.4107727274
247	0.4104558366
248	0.4103135454
249	0.4101031863
250	0.409939967
251	0.4097898419
252	0.4093823472
253	0.4091790883
254	0.4090076085
255	0.4088669064
256	0.4087271376
257	0.4085736615
258	0.4084091295
259	0.4082620991
260	0.4080946365
261	0.4076614525
262	0.4075643346
263	0.4074162853
264	0.4071351633
265	0.406984961
266	0.4067128525
267	0.4064726639
268	0.4063175631
269	0.4059568698
270	0.405845862
271	0.4057104926
272	0.4055102755
273	0.4054281734
274	0.4053370774
275	0.4051746944
276	0.4049726764
277	0.4048427878
278	0.4044763694
279	0.404260339
280	0.4041038215
281	0.403960949
282	0.4038265768
283	0.4037091759
284	0.4035591304
285	0.4034659615
286	0.4033667454
287	0.4032283484
288	0.4030936398
289	0.4029449687
290	0.4027369404
291	0.4025905613
292	0.4024250253
293	0.4023045636
294	0.402174327
295	0.4020092248
296	0.4018703887
297	0.4017454891
298	0.4016370823
299	0.4014921694
300	0.4013674423
301	0.4012600751
302	0.4010502045
303	0.4008986596
304	0.4007493414
305	0.4006013314
306	0.4003637982
307	0.4002219669
308	0.4001086936
309	0.3999694453
310	0.3998627629
311	0.3996950038
312	0.3995422691
313	0.3994107955
314	0.399248825
315	0.3991205826
316	0.3990136716
317	0.3988990612
318	0.3987727501
319	0.3986425607
320	0.3985494398
321	0.3984183523
322	0.3982690699
323	0.3981519342
324	0.3980238274
325	0.3978180779
326	0.3976568651
327	0.3974250949
328	0.397287683
329	0.3971818671
330	0.397081343
331	0.3969439756
332	0.3968405494
333	0.3967730161
334	0.3966808973
335	0.3963842554
336	0.396266925
337	0.3961468792
338	0.3960221688
339	0.3959230755
340	0.3957924069
341	0.3956783614
342	0.3955697464
343	0.3953159393
344	0.3951891514
345	0.3950732588
346	0.3948486073
347	0.3947555548
348	0.394655451
349	0.3945696621
350	0.3944437861
351	0.3943284132
352	0.3942255119
353	0.394115191
354	0.3939772476
355	0.3938761502
356	0.3937085552
357	0.3936068126
358	0.3934138578
359	0.3933274574
360	0.3932160981
361	0.3931187367
362	0.3930137905
363	0.3929034255
364	0.3926499347
365	0.3925452611
366	0.3924534069
367	0.3923683417
368	0.3922205584
369	0.3921282265
370	0.3919591482
371	0.3918168273
372	0.3917035664
373	0.3916074796
374	0.3914851897
375	0.3913450288
376	0.3912063806
377	0.3910997921
378	0.3909118604
379	0.3908439406
380	0.3907729767
381	0.3906821118
382	0.3904127557
383	0.3903443343
384	0.390274338
385	0.3901212835
386	0.390048765
387	0.3899329051
388	0.3898435248
389	0.3897345376
390	0.389633956
391	0.3894919161
392	0.3893877264
393	0.389313262
394	0.389220722
395	0.3891477045
396	0.3890221782
397	0.3889491065
398	0.3887935573
399	0.3886826323
